Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
72.44430626298661,73.51053072743386,72.18753594245682,73.44939422607422,135480400,0.0,0.0,AAPL
72.66683321331429,73.50562409607875,72.50787982601604,72.73530578613281,146322800,0.0,0.0,AAPL
71.84517161157338,73.35401625614158,71.59084168130282,73.31488800048828,118387200,0.0,0.0,AAPL
73.32468003576207,73.5838982280375,72.74755499271944,72.9700927734375,108872000,0.0,0.0,AAPL
72.66929349248245,74.44958815326454,72.66929349248245,74.14390563964844,132079200,0.0,0.0,AAPL
75.13430441448718,75.91440668676213,74.87998196892526,75.7187728881836,170108400,0.0,0.0,AAPL
75.95598580671374,76.46219779592327,75.38130123898442,75.88995361328125,140644800,0.0,0.0,AAPL
76.21031256596359,77.53819544236191,76.09047996130823,77.51129150390625,121532000,0.0,0.0,AAPL
77.44771740464869,77.66047122019106,76.33992437724254,76.46463775634766,161954400,0.0,0.0,AAPL
76.26166847488167,77.15425984580067,75.69920822010502,76.13694763183594,121923600,0.0,0.0,AAPL
76.68718355331708,77.20317952304454,76.32036453270639,77.09068298339844,108829200,0.0,0.0,AAPL
77.34255670067849,77.94658558770234,77.03198598353431,77.94414520263672,137816400,0.0,0.0,AAPL
77.56754138852074,78.0150572562722,77.27653107004997,77.41592407226562,110843200,0.0,0.0,AAPL
77.9074702365154,78.25228103119552,77.59689946793732,77.69227600097656,101832400,0.0,0.0,AAPL
77.74605925084879,78.14711076702591,77.19093511420093,78.06641387939453,104472000,0.0,0.0,AAPL
78.31584278864379,79.06904105307686,77.64822963886536,77.84142303466797,146537600,0.0,0.0,AAPL
75.82393271413133,76.24210428754456,74.55718621603168,75.552490234375,161940000,0.0,0.0,AAPL
76.4450810915093,77.86344490630857,76.34481633595651,77.6898193359375,162234000,0.0,0.0,AAPL
79.34295924080934,80.1744142169171,78.59220116767034,79.31605529785156,216229200,0.0,0.0,AAPL
78.38679105558155,79.25492652684616,77.94905154707077,79.20112609863281,126743200,0.0,0.0,AAPL
78.48215702921162,78.91011258941342,75.3910990351181,75.68944549560547,199588400,0.0,0.0,AAPL
74.41534296853129,76.66272124980865,73.90669058484998,75.4815673828125,173788400,0.0,0.0,AAPL
77.10780807746916,78.16669656600745,76.69697253841645,77.97350311279297,136616400,0.0,0.0,AAPL
79.11553386540989,79.41877603630033,77.9979641105635,78.60932922363281,118826800,0.0,0.0,AAPL
78.88321855304916,79.53126407170929,78.31831779310836,79.52881622314453,105425600,0.0,0.0,AAPL
79.02140223288116,79.27388214438348,77.95020098232597,78.44780731201172,117684000,0.1925,0.0,AAPL
77.01381592628563,78.82039642333984,76.93292750013804,78.82039642333984,109348800,0.0,0.0,AAPL
79.32289265032175,79.39642756703759,78.12422114321298,78.34483337402344,94323200,0.0,0.0,AAPL
78.80077596332427,80.21025261765767,78.80077596332427,80.20535278320312,113730400,0.0,0.0,AAPL
79.4675169168609,79.96512313889157,79.26161166781336,79.63420104980469,94747600,0.0,0.0,AAPL
79.6023419242834,79.90630373637477,79.13905693462888,79.65382385253906,80113600,0.0,0.0,AAPL
77.30305645945641,78.37916492593699,77.11921166291395,78.19532012939453,152531200,0.0,0.0,AAPL
78.44045573621466,79.56068529005704,78.44045573621466,79.32781219482422,93984000,0.0,0.0,AAPL
79.08511802430688,79.58027057408931,78.00165623119696,78.51396942138672,100566000,0.0,0.0,AAPL
78.10216448230571,78.55074993816775,76.11173951225685,76.73680877685547,129554000,0.0,0.0,AAPL
72.86626953756218,74.56253988460392,70.89790502092276,73.09178161621094,222195200,0.0,0.0,AAPL
73.77077979856564,74.15807614938656,70.13800540885744,70.61599731445312,230673600,0.0,0.0,AAPL
70.23605679179596,73.01824251988717,70.228703300101,71.7362289428711,198054800,0.0,0.0,AAPL
68.90502875186128,70.10614654976295,66.9096963747264,67.04696655273438,320605600,0.0,0.0,AAPL
63.061229450925026,68.24565208702367,62.84306333170994,67.00775909423828,426510000,0.0,0.0,AAPL
69.19426969529725,73.89089172481425,68.07649407448208,73.24620819091797,341397200,0.0,0.0,AAPL
74.43753277958105,74.51842119530764,70.05711798674417,70.91996765136719,319475600,0.0,0.0,AAPL
72.66526340507036,74.37134088521833,71.8538957000222,74.20955657958984,219178400,0.0,0.0,AAPL
72.43974416484996,73.42760316393586,71.43227834711573,71.80242156982422,187572800,0.0,0.0,AAPL
69.12565369733822,71.28767061897628,68.93690903808348,70.84889221191406,226176800,0.0,0.0,AAPL
64.65208352514068,68.16719496016444,64.4682387378654,65.24529266357422,286744800,0.0,0.0,AAPL
67.93434186279363,70.21401465146977,66.02970472915517,69.94437408447266,285290000,0.0,0.0,AAPL
67.99561271602094,68.93444349551166,66.64005660180707,67.5151596069336,255598800,0.0,0.0,AAPL
62.73764322830044,66.18411936414314,60.791339267805554,60.84771728515625,418474000,0.0,0.0,AAPL
64.93152951984564,68.61577866270746,62.00471624303463,68.13777923583984,370732000,0.0,0.0,AAPL
59.3083274299161,63.50733981390872,58.83033173265463,59.37206268310547,322423600,0.0,0.0,AAPL
60.67123445321485,63.14700887087702,58.43813277988301,61.982662200927734,324056000,0.0,0.0,AAPL
58.77395385651659,61.28159570549245,58.12436669783931,60.46532440185547,300233600,0.0,0.0,AAPL
60.64182092699597,61.977759080532365,59.47011701527548,60.00204086303711,271857200,0.0,0.0,AAPL
60.590340078653426,61.73018005128595,55.88881765221664,56.19277572631836,401693200,0.0,0.0,AAPL
55.908424874273656,56.01137750443544,52.11631949848862,54.99900436401367,336752800,0.0,0.0,AAPL
